!Women Art Revolution (2010) |   3 stars, 1hr 22m
#1 Cheerleader Camp (2010) |   3 stars, 1hr 35m
$5 a Day (2008) |   3.4 stars, 1hr 37m
The Savage (1952) |   3.6 stars, 1hr 35m
The Savage Horde (1950) |   3.4 stars, 1hr 29m
The Savage Innocents (1960) |   3.1 stars, 1hr 50m
The Savage Wild (1970) |   3.2 stars, 1hr 41m
The Scalphunters (1968) |   3.6 stars, 1hr 43m
The Scar (1948) |   3.2 stars, 1hr 22m
The Scarf (1951) |   3.2 stars, 1hr 27m
The Scarlet Clue (1945) |   3.6 stars, 1hr 4m
The Scent of Green Papaya (1993) |   3.6 stars, 1hr 43m
The Sci-Fi Boys (2006) |   3.4 stars, 1hr 19m
The Science of Healing with Dr. Esther Sternberg (2009) |   3.7 stars, 55m
The Science of Sex Appeal (2009) |   3.5 stars, 1hr 27m
The Scorpion King 3: Battle for Redemption (2012) |   2.7 stars, 1hr 45m
The Search for Bridey Murphy (1956) |   3.2 stars, 1hr 24m
The Seat Filler (2005) |   3.3 stars, 1hr 29m
The Second Chance (2006) |   3.5 stars, 1hr 42m
The Secret (2006) |   3.6 stars, 1hr 31m
The Secret (2007) |   3.3 stars, 1hr 31m
The Secret Circle (2011) |   4.1 stars, 1 Season
The Secret Garden (1975) |   3.6 stars, 1hr 46m
The Secret Invasion (1964) |   3.2 stars, 1hr 38m
The Secret Life of the American Teenager (2008-2012) |   3.9 stars, 5 Seasons
The Secret of Kells (2009) |   3.8 stars, 1hr 15m
The Secret of Moonacre (2008) |   3.9 stars, 1hr 42m
The Secret of Nikola Tesla (1980) |   3.6 stars, 1hr 37m
The Secret of NIMH (1982) |   3.8 stars, 1hr 22m
The Secret of NIMH 2: Timmy to the Rescue (1998) |   3.5 stars, 1hr 8m
The Secrets of Jonathan Sperry (2008) |   4 stars, 1hr 36m
The Sentinel (1977) |   3.1 stars, 1hr 31m
The September Issue (2008) |   3.7 stars, 1hr 29m
The Serpent's Egg (1978) |   2.9 stars, 1hr 59m
The Serpent's Kiss (1997) |   3 stars, 1hr 50m
The Servant (2010) |   3.5 stars, 2hr 4m
The Servant: The Untold Story of Bang-Ja (2011) |   3.2 stars, 1 Season
The Seven Year Itch (1955) |   3.6 stars, 1hr 44m
The Seven-Ups (1973) |   3.3 stars, 1hr 43m
The Sex Monster (1999) |   2.9 stars, 1hr 37m
The Shakiest Gun in the West (1968) |   3.8 stars, 1hr 40m
The Shanghai Cobra (1945) |   3.7 stars, 1hr 4m
The Shape of the Future (2004) |   2.8 stars, 1hr 38m
The Shift (2008-2009) |   3.9 stars, 2 Seasons
The Shipbuilders (1943) |   3 stars, 1hr 17m
The Shiver of the Vampires (1971) |   2.6 stars, 1hr 34m
The Shock Labyrinth (2009) |   2.6 stars, 1hr 28m
The Show Must Go On (2007) |   3.3 stars, 1hr 50m
The Shrine (2010) |   3.3 stars, 1hr 24m
The Shunning (2011) |   3.8 stars, 1hr 27m
The Sicilian Girl (2009) |   3.6 stars, 1hr 53m
The Siege (1998) |   3.6 stars, 1hr 55m
The Signal (2006) |   3 stars, 1hr 43m
The Silencer (2000) |   3.4 stars, 1hr 32m
The Silver Stallion (1993) |   3.4 stars, 1hr 31m
The Simian Line (2001) |   3 stars, 1hr 41m
The Singing Revolution (2006) |   3.8 stars, 1hr 37m
The Sitter (2007) |   3.3 stars, 1hr 28m
The Situation (2006) |   3.1 stars, 1hr 46m
The Six Degrees of Helter Skelter (2008) |   3.3 stars, 1hr 45m
The Six Wives of Henry Lefay (2009) |   3.3 stars, 1hr 35m
The Skeleton Key (2005) |   3.5 stars, 1hr 43m
The Skeptic (2009) |   3.4 stars, 1hr 28m
The Skulls (2000) |   3.5 stars, 1hr 46m
The Skulls 2 (2002) |   3.1 stars, 1hr 39m
The Skulls III (2003) |   3.2 stars, 1hr 41m
The Sky Crawlers (2008) |   3.1 stars, 2hr 1m
The Slaughter (2006) |   2.7 stars, 1hr 35m
The Slave Hunters (2010) |   3.6 stars, 1 Season
The Slayers (1995) |   3.7 stars, 26 Episodes
The Slayers: Next (1996) |   3.8 stars, 26 Episodes
The Slayers: Revolution (2008) |   3.6 stars, 13 Episodes
The Slayers: Try (1997) |   3.6 stars, 26 Episodes
The Sleeping Beauty (2010) |   2.7 stars, 1hr 22m
The Sleeping Car (1990) |   2.7 stars, 1hr 27m
The Slit-Mouthed Woman (2005) |   2.8 stars, 1hr 3m
The Smell of Success (2009) |   3.1 stars, 1hr 30m
The Smurfs and the Magic Flute (1976) |   3.6 stars, 1hr 10m
The Snapper (1993) |   3.3 stars, 1hr 34m
The Snowtown Murders (2011) |   2.9 stars, 2hr
The Son's Room (2001) |   3.3 stars, 1hr 39m
The Sons of Tennessee Williams (2010) |   3.1 stars, 1hr 21m
The Sound of Fury (1950) |   3 stars, 1hr 31m
The Sound of Insects (2009) |   3.2 stars, 1hr 26m
The Southerner (1945) |   3.2 stars, 1hr 30m
The Space Between (2010) |   3.6 stars, 1hr 26m
The Spanish Cape Mystery (1935) |   3.4 stars, 1hr 14m
The Sparticle Mystery (2010) |   , 13 Episodes
The Spectre of the Rose (1946) |   2.2 stars, 1hr 30m
The Spell (1977) |   2.9 stars, 1hr 13m
The Spirit Is Willing (1967) |   3 stars, 1hr 40m
The Spy Factory: Nova (2009) |   3.7 stars, 53m
The Square (2008) |   3.1 stars, 1hr 46m
The Square Peg (1958) |   2.9 stars, 1hr 29m
The Stand (1994) |   3.8 stars, 4 Episodes
The Stars Are Singing (1953) |   3.4 stars, 1hr 39m
The State Within (2006) |   3.6 stars, 7 Episodes
The Stepdaughter (2000) |   3.2 stars, 1hr 32m
The Stepford Wives (2004) |   3 stars, 1hr 32m
The Stick Up Kids (2008) |   3.5 stars, 1hr 59m
The Sting II (1983) |   3.1 stars, 1hr 41m
The Stone Angel (2007) |   3.4 stars, 1hr 55m
The Stoned Age (1994) |   3.1 stars, 1hr 30m
The Stoning of Soraya M. (2008) |   4.2 stars, 1hr 54m
The Stool Pigeon (2010) |   3.5 stars, 1hr 52m
The Storm Rider (1957) |   3.3 stars, 1hr 10m
The Story of 1 (2005) |   3.8 stars, 59m
The Story of David (1976) |   3.6 stars, 1 Season
The Story of India (2007) |   4 stars, 6 Episodes
The Story of Jacob and Joseph (1974) |   3.8 stars, 1hr 44m
The Story of Mr. Sorry (2009) |   2.1 stars, 1hr 5m
The Story of O (1975) |   2.8 stars, 1hr 32m
The Story of Ruth (1960) |   3.9 stars, 2hr 11m
The Strange Affair of Uncle Harry (1945) |   3.6 stars, 1hr 20m
The Strange Case of Angelica (2010) |   2.3 stars, 1hr 36m
The Stranger (2010) |   3.4 stars, 1hr 30m
The Stranger (1946) |   3.7 stars, 1hr 35m
The Stranger in Us (2010) |   3.1 stars, 1hr 47m
The Street Stops Here (2010) |   4.1 stars, 1hr 22m
The Striking Truth (2010) |   3.8 stars, 1hr 20m
The Strip Game (2005) |   3.2 stars, 1hr 11m
The Stuff (1985) |   3.1 stars, 1hr 26m
The Substance of Fire (1996) |   2.8 stars, 1hr 41m
The Suite Life Movie (2011) |   3.7 stars, 1hr 18m
The Suite Life of Zack & Cody (2005-2007) |   4 stars, 3 Seasons
The Suite Life on Deck (2008-2011) |   3.9 stars, 3 Seasons
The Suitors (1988) |   2.3 stars, 1hr 44m
The Sum of Us (1994) |   3.5 stars, 1hr 39m
The Sun Behind the Clouds (2010) |   3.9 stars, 1hr 19m
The Sun Came Out (2010) |   , 1hr 32m
The Super Mario Bros. Super Show! (1989) |   3.6 stars, 24 Episodes
The Surfer King (2006) |   3.2 stars, 1hr 34m
The Surge (2001) |   2.8 stars, 1hr 40m
The Surge (2009) |   3.5 stars, 1hr 9m
The Surgeon (1995) |   2.8 stars, 1hr 39m
The Sweetest Sound (2001) |   2.8 stars, 56m
The Sweetest Thing (2002) |   3.5 stars, 1hr 28m
The Swell Season (2011) |   3.5 stars, 1hr 28m
The Swimming Pool (1969) |   3.1 stars, 2hr 1m
The Swimsuit Issue (2008) |   3.1 stars, 1hr 38m
The Swinger (1966) |   2.8 stars, 1hr 20m
The System Within (2006) |   3.5 stars, 1hr 47m
The Tailor of Panama (2001) |   3 stars, 1hr 49m
The Taking of Pelham One Two Three (1974) |   3.6 stars, 1hr 44m
The Tale of Despereaux (2008) |   3.5 stars, 1hr 33m
The Talent Given Us (2004) |   2.5 stars, 1hr 38m
The Tall Man (2012) |   3.6 stars, 1hr 45m
The Tangerine Bear: Home in Time for Christmas! (2000) |   3.3 stars, 49m
The Target (2002) |   2.9 stars, 1hr 31m
The Taste of Others (2000) |   3.1 stars, 1hr 52m
The Telling (2009) |   2.5 stars, 1hr 23m
The Ten (2006) |   2.8 stars, 1hr 36m
The Tenth Man (1988) |   3.5 stars, 1hr 39m
The Tents (2011) |   3.6 stars, 1hr 18m
The Terminator (1984) |   3.9 stars, 1hr 47m
The Terminators (2009) |   2.8 stars, 1hr 29m
The Terror (1963) |   2.9 stars, 1hr 19m
The Tested (2010) |   3.4 stars, 1hr 45m
The Thief and the Cobbler (1995) |   3.6 stars, 1hr 12m
The Thief of Bagdad (1924) |   3.4 stars, 2hr 31m
The Thin Blue Line (1988) |   3.8 stars, 1hr 41m
The Thin Red Line (1998) |   3.5 stars, 2hr 50m
The Thing (1982) |   3.8 stars, 1hr 48m
The Thing Below (2004) |   2.5 stars, 1hr 34m
The Thing with Two Heads (1972) |   2.7 stars, 1hr 31m
The Third Wave (2007) |   2.9 stars, 1hr 33m
The Third Wheel (2002) |   3.3 stars, 1hr 26m
The Third Wish (2004) |   3.5 stars, 1hr 37m
The Thirteenth Floor (1999) |   3.4 stars, 1hr 40m
The Three Amigos (2003) |   3.5 stars, 1hr 14m
The Three Marias (2003) |   2.6 stars, 1hr 24m
The Three Stooges (2000) |   3.7 stars, 1hr 27m
The Three Swordsmen (1994) |   3.2 stars, 1hr 26m
The Tick (2001) |   3.6 stars, 9 Episodes
The Tiger and the Snow (2005) |   3.4 stars, 1hr 2m
The Time That Remains (2011) |   2.6 stars, 1hr 49m
The Tomb (1986) |   2.4 stars, 1hr 24m
The Tomb (2007) |   2 stars, 1hr 21m
The Topeka Terror (1945) |   3.2 stars, 55m
The Topp Twins: Untouchable Girls (2009) |   3.4 stars, 1hr 24m
The Toxic Avenger (1985) |   3 stars, 1hr 27m
The Toxic Avenger: Part 2 (1989) |   2.9 stars, 1hr 42m
The Toxic Avenger: Part 3 (1989) |   2.9 stars, 1hr 42m
The Trail to Hope Rose (2004) |   3.5 stars, 1hr 28m
The Trap (2007) |   3.5 stars, 1hr 42m
The Traveler (2010) |   3 stars, 1hr 31m
The Treatment (2006) |   3 stars, 1hr 26m
The Tree (2010) |   3.2 stars, 1hr 40m
The Tree (2009) |   , 1hr 9m
The Trial of Billy Jack (1974) |   3.5 stars, 2hr 53m
The Trials of Henry Kissinger (2002) |   3.7 stars, 1hr 19m
The Trip (2002) |   3.5 stars, 1hr 36m
The Trip (2010) |   3.5 stars, 1hr 51m
The Triumph and Tragedy of World Class Championship Wrestling (2007) |   3.9 stars, 1hr 50m
The Trojan Women (1971) |   2.8 stars, 1hr 46m
The Troop (2009) |   4 stars, 1 Season
The Trotsky (2009) |   3.6 stars, 1hr 53m
The Trouble with Angels (1966) |   3.8 stars, 1hr 50m
The Trouble with Romance (2008) |   2.6 stars, 1hr 28m
The Truce (1996) |   3.5 stars, 1hr 57m
The True Story of Puss 'n Boots (2009) |   2.9 stars, 1hr 21m
The True Story of WrestleMania: Vol. 1 (2010) |   3.9 stars, 2hr 1m
The Truth (2010) |   3.2 stars, 1hr 36m
The Tudors (2007-2010) |   3.9 stars, 4 Seasons
The Turin Horse (2011) |   2.9 stars, 2hr 34m
The Turn of the Screw (1992) |   2.8 stars, 1hr 36m
The Turning Point (1952) |   3.4 stars, 1hr 21m
The Twilight Samurai (2002) |   3.9 stars, 2hr 9m
The Twilight Zone (Original Series) (1959-1963) |   3.7 stars, 4 Seasons
The Twinkle in God's Eye (1955) |   3.3 stars, 1hr 12m
The Two Jakes (1990) |   3.1 stars, 2hr 17m
The Ugly (1997) |   2.8 stars, 1hr 33m
The Ultimate Lesbian Short Film Festival (2005) |   2.2 stars, 1hr 54m
The Ultimate Wave: Tahiti: IMAX (2010) |   3.8 stars, 45m
The Unborn (1991) |   2.9 stars, 1hr 20m
The Unexplained: Hauntings (1997) |   3.3 stars, 44m
The Unidentified (2008) |   2.1 stars, 1hr 49m
The Union: The Business Behind Getting High (2007) |   4.1 stars, 1hr 44m
The Universe of Keith Haring (2008) |   3.8 stars, 1hr 30m
The Unjust (2010) |   3.2 stars, 1hr 59m
The Unknown Soldier (2007) |   3.4 stars, 1hr 36m
The Unloved (2009) |   3.1 stars, 1hr 48m
The Unnamable (1988) |   2.9 stars, 1hr 27m
The Unseen (2005) |   3.2 stars, 2hr 38m
The Up in Smoke Tour (2000) |   3.6 stars, 1hr 59m
The Vagabond King (1956) |   2.8 stars, 1hr 27m
The Vampire (1957) |   2.9 stars, 1hr 16m
The Vampire's Ghost (1945) |   2.9 stars, 55m
The Vampire Diaries (2009-2011) |   4.4 stars, 3 Seasons
The Vampire Lovers (1970) |   3 stars, 1hr 31m
The Van (1977) |   2.7 stars, 1hr 26m
The Vanished Empire (2008) |   3.2 stars, 1hr 44m
The Vanishing (1993) |   3.5 stars, 1hr 49m
The Vanquished (1953) |   3.5 stars, 1hr 23m
The Vector File (2002) |   3.2 stars, 1hr 31m
The Veteran (2011) |   3.4 stars, 1hr 38m
The Veteran (2006) |   3.1 stars, 1hr 28m
The Vicious Kind (2009) |   3.3 stars, 1hr 31m
The Video Dead (1987) |   2.7 stars, 1hr 30m
The Villain Still Pursued Her (1940) |   2 stars, 1hr 6m
The Vineyard (1989) |   2.7 stars, 1hr 33m
The Violin (2005) |   3.5 stars, 1hr 38m
The Virgin Stripped Bare by Her Bachelors (2000) |   2.5 stars, 2hr 6m
The Visitors (1972) |   2.4 stars, 1hr 28m
The Visitors (1993) |   3.4 stars, 1hr 47m
The Void (2001) |   2.9 stars, 1hr 33m
The Voyages of Young Doctor Dolittle (2011) |   3.2 stars, 1hr 19m
The Waiting City (2009) |   3.3 stars, 1hr 48m
The Waiting Room (2007) |   3.3 stars, 1hr 45m
The Walking Dead (2010-2011) |   4.5 stars, 2 Seasons
The Walking Dead (1995) |   3.5 stars, 1hr 29m
The Wall: A World Divided (2010) |   3.9 stars, 55m
The War (1994) |   3.8 stars, 2hr 5m
The War at Home (1979) |   3.4 stars, 1hr 39m
The War Bride (2001) |   3.6 stars, 1hr 43m
The War on Kids (2009) |   3.8 stars, 1hr 35m
The War Within (2005) |   3 stars, 1hr 32m
The War Zone (1999) |   3.6 stars, 1 Collection
The War Zone (1999) |   3.2 stars, 1hr 35m
The Ward (2011) |   3.4 stars, 1hr 28m
The Warlords (2007) |   3.7 stars, 1hr 53m
The Warring States (2011) |   3.7 stars, 2hr 4m
The Warrior's Way (2010) |   3.7 stars, 1hr 40m
The Wash (2001) |   3.6 stars, 1hr 36m
The Wasp Woman (1959) |   2.7 stars, 1hr 12m
The Water Babies (1978) |   3 stars, 1hr 37m
The Watermelon Woman (1996) |   2.8 stars, 1hr 23m
The Wave (2008) |   4 stars, 1hr 47m
The Wavy Gravy Movie: Saint Misbehavin (2009) |   3.9 stars, 1hr 26m
The Way (2010) |   4 stars, 2hr
The Way Back (2010) |   3.8 stars, 2hr 13m
The Way I Spent the End of the World (2006) |   3.2 stars, 1hr 41m
The Way of the Gun (2000) |   3.5 stars, 2hr
The Way We Get By (2009) |   3.9 stars, 1hr 24m
The Way We Live Now (2001) |   3.7 stars, 4 Episodes
The Weather Man (2005) |   2.9 stars, 1hr 41m
The Weather Underground (2002) |   3.6 stars, 1hr 30m
The Wedding Banquet (1993) |   3.7 stars, 1hr 48m
The Wedding Gift (1994) |   3.3 stars, 1hr 27m
The Wedding Planner (2001) |   3.4 stars, 1hr 43m
The Wedding Song (2008) |   3.3 stars, 1hr 37m
The Weeping Meadow (2004) |   2.9 stars, 2hr 42m
The Weird World of Blowfly (2010) |   3 stars, 1hr 29m
The Whales of August (1987) |   3.4 stars, 1hr 31m
The Wheels on the Bus (2003) |   3.2 stars, 3 Episodes
The Whistle Blower (1987) |   3.2 stars, 1hr 43m
The White Bus (1967) |   2.6 stars, 47m
The Whitest Kids U' Know (2011) |   3.8 stars, 1 Season
The Widow of St. Pierre (2001) |   3.5 stars, 1hr 52m
The Wife (1996) |   2.5 stars, 1hr 45m
The Wilby Conspiracy (1975) |   3.3 stars, 1hr 45m
The Wild and Wonderful Whites of West Virginia (2009) |   3.6 stars, 1hr 28m
The Wild Dakotas (1956) |   3.2 stars, 1hr 11m
The Wild Geese (1978) |   3.5 stars, 2hr 9m
The Wild Parrots of Telegraph Hill (2005) |   3.6 stars, 1hr 23m
The Wild Soccer Bunch (2005) |   3.3 stars, 1hr 25m
The Wildest Dream (2010) |   3.8 stars, 1hr 33m
The Will: Family Secrets Revealed (2010) |   3.6 stars, 1 Season
The Wind Journeys (2009) |   3.5 stars, 2hr
The Wind That Shakes the Barley (2006) |   3.5 stars, 2hr 7m
The Window (2008) |   3.1 stars, 1hr 17m
The Winds of War (1983) |   3.9 stars, 7 Episodes
The Wings of the Dove (1997) |   3.4 stars, 1hr 41m
The Winning Season (2009) |   3.6 stars, 1hr 43m
The Wiz (1978) |   3.3 stars, 2hr 14m
The Wolf Man (1941) |   3.7 stars, 1hr 9m
The Wolves of Kromer (2000) |   2.3 stars, 1hr 16m
The Woman (2011) |   3.2 stars, 1hr 43m
The Woman in the Window (1944) |   3.7 stars, 1hr 39m
The Woman with the 5 Elephants (2009) |   , 1hr 38m
The Women of Brewster Place (1989) |   3.9 stars, 4 Episodes
The Women on the 6th Floor (2010) |   3.9 stars, 1hr 42m
The Wonder Years (1988-1992) |   4.2 stars, 6 Seasons
The Woodlanders (1997) |   3.3 stars, 1hr 37m
The Woodmans (2010) |   3.6 stars, 1hr 22m
The Woods (2011) |   1.9 stars, 1hr 32m
The Workshop (2007) |   2.6 stars, 1hr 31m
The World's Fastest Indian (2005) |   3.9 stars, 2hr 6m
The World for Ransom (1954) |   2.7 stars, 1hr 21m
The World of Drunken Master (1979) |   3.5 stars, 1hr 24m
The World Without Us (2008) |   3.6 stars, 1hr 21m
The Wreck (2008) |   3 stars, 1hr 17m
The Wyoming Bandit (1949) |   3.3 stars, 1hr
The X-Files (1993-2001) |   4 stars, 9 Seasons
The Yankles (2009) |   3 stars, 1hr 56m
The Year My Voice Broke (1987) |   3.1 stars, 1hr 40m
The Yellow Handkerchief (2008) |   3.6 stars, 1hr 35m
The Yellow Rose of Texas (1944) |   3 stars, 1hr 9m
The Yellow Sea (2011) |   3.6 stars, 2hr 16m
The Yellow Wallpaper (2011) |   2.8 stars, 1hr 41m
The Yes Men Fix the World (2009) |   3.9 stars, 1hr 26m
The Young Captives (1959) |   2.5 stars, 1hr 5m
The Young Girls of Rochefort (1967) |   3.1 stars, 2hr 4m
The Young Savages (1961) |   3.3 stars, 1hr 42m
The Young Sinner (1965) |   , 1hr 21m
The Zany Adventures of Robin Hood (1984) |   2.6 stars, 1hr 35m
The Zombie Apocalypse (2008) |   2.4 stars, 1hr 31m
Theater of Blood (1973) |   3.4 stars, 1hr 44m
Theater of War (2008) |   3.5 stars, 1hr 35m
Theirs Is the Glory (1946) |   3.4 stars, 1hr 22m
Them (2007) |   3.2 stars, 1hr 16m
Them Idiots! Whirled Tour (2012) |   4.1 stars, 2hr 2m
Then She Found Me (2007) |   3.1 stars, 1hr 40m
Then Summer Came (2008) |   , 1hr 58m
There Be Dragons (2011) |   3.2 stars, 2hr 2m
There Goes The Neighborhood (1992) |   3.4 stars, 1hr 28m
Theremin: An Electronic Odyssey (1993) |   3.6 stars, 1hr 23m
Therese (2004) |   3.4 stars, 1hr 35m
Therese and Isabelle (1968) |   2.4 stars, 1hr 57m
Therese Raquin (1953) |   3.2 stars, 1hr 43m
These Amazing Shadows: The Movies That Make America (2011) |   3.9 stars, 1hr 28m
These Thousand Hills (1959) |   3.3 stars, 1hr 36m
They Came to Play (2008) |   3.9 stars, 1hr 31m
They Killed Sister Dorothy (2008) |   3.4 stars, 1hr 33m
They Might Be Giants (1971) |   3.4 stars, 1hr 31m
They Went That-A-Way & That-A-Way (1978) |   3.2 stars, 1hr 47m
Thick as Thieves (1999) |   3.3 stars, 1hr 34m
Thief (1981) |   3.4 stars, 2hr 3m
Thieves (1977) |   2 stars, 1hr 43m
Thieves Like Us (1974) |   3.2 stars, 2hr 2m
Things to Do in Denver When You're Dead (1995) |   3.4 stars, 1hr 55m
Things You Can Tell Just By Looking at Her (2000) |   3 stars, 1hr 49m
Think Tank (2006) |   2.2 stars, 1hr 32m
Thirst (2009) |   3.4 stars, 2hr 13m
This Emotional Life (2010) |   3.9 stars, 3 Episodes
This Film Is Not Yet Rated (2006) |   3.5 stars, 1hr 37m
This Girl for Hire (1983) |   2.9 stars, 1hr 36m
This Happy Breed (1944) |   3.2 stars, 1hr 50m
This Is England (2006) |   3.4 stars, 1hr 42m
This Is Not a Movie (2011) |   2.3 stars, 1hr 39m
This Is Spinal Tap (1984) |   3.7 stars, 1hr 23m
This Is What Love in Action Looks Like (2011) |   3.5 stars, 1hr 14m
This Ugly Yet Beautiful World (2004) |   3.7 stars, 12 Episodes
Thoda Pyaar Thoda Magic (2008) |   3.6 stars, 2hr 11m
Thomas & Friends: 10 Years of Thomas (1995) |   3.2 stars, 1hr
Thomas & Friends: A Big Day for Thomas (2003) |   3.3 stars, 35m
Thomas & Friends: Best of Gordon (2003) |   3.3 stars, 45m
Thomas & Friends: Best of James (2002) |   3.2 stars, 43m
Thomas & Friends: Best of Percy (2001) |   3.1 stars, 45m
Thomas & Friends: Best of Thomas (2001) |   3.3 stars, 42m
Thomas & Friends: Birthday Express (2011) |   3.4 stars, 1hr
Thomas & Friends: Calling All Engines (2005) |   3.2 stars, 1hr
Thomas & Friends: Carnival Capers (2007) |   3.2 stars, 56m
Thomas & Friends: Come Ride the Rails (2006) |   3.2 stars, 56m
Thomas & Friends: Cranky Bugs (1998) |   3.3 stars, 34m
Thomas & Friends: Creaky Cranky (2010) |   3.4 stars, 49m
Thomas & Friends: Curious Cargo (2011) |   3.4 stars, 59m
Thomas & Friends: Engine Friends Classic Collection (2012) |   3.1 stars, 2hr 27m
Thomas & Friends: Engines and Escapades (2008) |   3.5 stars, 49m
Thomas & Friends: Halloween Adventures (2006) |   3.5 stars, 57m
Thomas & Friends: Hero of the Rails (2009) |   3.5 stars, 1hr
Thomas & Friends: High Speed Adventures (2009) |   3.5 stars, 45m
Thomas & Friends: Holiday Express (2010) |   3.6 stars, 48m
Thomas & Friends: Hooray for Thomas (2005) |   3.2 stars, 34m
Thomas & Friends: It's Great to be an Engine (2004) |   3.1 stars, 56m
Thomas & Friends: James & the Red Balloon (2003) |   3.3 stars, 34m
Thomas & Friends: James Goes Buzz Buzz (2007) |   3.3 stars, 38m
Thomas & Friends: James Learns a Lesson (1994) |   3.3 stars, 38m
Thomas & Friends: Make Someone Happy (2000) |   3.2 stars, 34m
Thomas & Friends: Merry Christmas Thomas (2011) |   3.5 stars, 1hr
Thomas & Friends: Merry Winter Wish (2010) |   3.5 stars, 49m
Thomas & Friends: Milkshake Muddle (1992) |   3.2 stars, 57m
Thomas & Friends: Misty Island Rescue (2010) |   3.6 stars, 58m
Thomas & Friends: Mud Glorious Mud (2007) |   3.4 stars, 39m
Thomas & Friends: New Friends for Thomas (2004) |   3.4 stars, 34m
Thomas & Friends: On Site with Thomas (2006) |   3.4 stars, 35m
Thomas & Friends: Percy's Chocolate Crunch (2003) |   3.3 stars, 34m
Thomas & Friends: Percy's Ghostly Trick (2007) |   3.3 stars, 33m
Thomas & Friends: Percy & the Dragon (2006) |   3.3 stars, 38m
Thomas & Friends: Percy and the Bandstand (2009) |   3.4 stars, 39m
Thomas & Friends: Percy Saves the Day (2005) |   3.3 stars, 31m
Thomas & Friends: Pop Goes Thomas (2011) |   3.5 stars, 49m
Thomas & Friends: Races, Rescues & Runaways (1999) |   3.2 stars, 34m
Thomas & Friends: Railway Friends (2008) |   3.3 stars, 46m
